root	run	checkpoint	weights_path	size_bytes	size_gb	mtime	modified
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_2_step_42000-20260730-091636	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_2_step_42000-20260730-091636/model.safetensors	1489565368	1.387	1785373118	2026-07-30 08:58
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_2_step_40000-20260730-085838	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_2_step_40000-20260730-085838/model.safetensors	1489565368	1.387	1785372113	2026-07-30 08:41
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_38000-20260730-084153	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_38000-20260730-084153/model.safetensors	1489565368	1.387	1785371078	2026-07-30 08:24
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_36000-20260730-082438	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_36000-20260730-082438/model.safetensors	1489565368	1.387	1785370072	2026-07-30 08:07
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_34000-20260730-080752	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_34000-20260730-080752/model.safetensors	1489565368	1.387	1785369065	2026-07-30 07:51
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_32000-20260730-075105	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_32000-20260730-075105/model.safetensors	1489565368	1.387	1785368061	2026-07-30 07:34
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_30000-20260730-073421	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_30000-20260730-073421/model.safetensors	1489565368	1.387	1785367055	2026-07-30 07:17
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_28000-20260730-071735	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_28000-20260730-071735/model.safetensors	1489565368	1.387	1785366050	2026-07-30 07:00
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_26000-20260730-070050	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_26000-20260730-070050/model.safetensors	1489565368	1.387	1785365044	2026-07-30 06:44
/data/guorui/checkpoint-trash	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_1_step_24000-20260730-064404	/data/guorui/checkpoint-trash/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_1_step_24000-20260730-064404/model.safetensors	1489565368	1.387	1785364037	2026-07-30 06:27
